1	TRUMP	My fellow Americans:	0
2	TRUMP	Tonight, I am speaking to you because there is a growing humanitarian and security crisis at our southern border.	1
3	TRUMP	Every day, Customs and Border Patrol agents encounter thousands of illegal immigrants trying to enter our country.	0
4	TRUMP	We are out of space to hold them, and we have no way to promptly return them back home to their country.	0
5	TRUMP	America proudly welcomes millions of lawful immigrants who enrich our society and contribute to our nation.	0
6	TRUMP	But all Americans are hurt by uncontrolled, illegal migration.	1
7	TRUMP	It strains public resources and drives down jobs and wages.	1
8	TRUMP	Among those hardest hit are African Americans and Hispanic Americans.	0
9	TRUMP	Our southern border is a pipeline for vast quantities of illegal drugs, including meth, heroin, cocaine, and fentanyl.	1
10	TRUMP	Every week, 300 of our citizens are killed by heroin alone, 90 percent of which floods across from our southern border.	0
11	TRUMP	More Americans will die from drugs this year than were killed in the entire Vietnam War.	0
12	TRUMP	In the last two years, ICE officers made 266,000 arrests of aliens with criminal records, including those charged or convicted of 100,000 assaults, 30,000 sex crimes, and 4,000 violent killings.	1
13	TRUMP	Over the years, thousands of Americans have been brutally killed by those who illegally entered our country, and thousands more lives will be lost if we don’t act right now.	1
14	TRUMP	This is a humanitarian crisis — a crisis of the heart and a crisis of the soul.	0
15	TRUMP	Last month, 20,000 migrant children were illegally brought into the United States — a dramatic increase.	0
16	TRUMP	These children are used as human pawns by vicious coyotes and ruthless gangs.	0
17	TRUMP	One in three women are sexually assaulted on the dangerous trek up through Mexico.	0
18	TRUMP	Women and children are the biggest victims, by far, of our broken system.	0
19	TRUMP	This is the tragic reality of illegal immigration on our southern border.	0
20	TRUMP	This is the cycle of human suffering that I am determined to end.	0
21	TRUMP	My administration has presented Congress with a detailed proposal to secure the border and stop the criminal gangs, drug smugglers, and human traffickers.	0
22	TRUMP	It’s a tremendous problem.	0
23	TRUMP	Our proposal was developed by law enforcement professionals and border agents at the Department of Homeland Security.	0
24	TRUMP	These are the resources they have requested to properly perform their mission and keep America safe.	0
25	TRUMP	In fact, safer than ever before.	0
